loss,config,halt_threshold,n_sup,epoch,train_ce,train_qloss,avg_steps_train,halt_logit_mean,halt_logit_std,halt_logit_max,pct_logit_gt0,pct_logit_gt1p5,train_pct_step1,train_pct_never,val_acc,val_steps_mean,val_pct_step1,val_pct_never
softmean,halt-3.0,3.0,5,90,0.0923,0.0924,3.8272921108742004,4.162,0.853,7.324,100.0,99.9,91.8,5.1,86.60,1.35,88.3,7.6
softmean,nsup-16,0.0,16,0,1.6392,0.6163,16.0,-0.779,0.436,0.233,0.5,0.0,1.3,98.6,0.06,16.00,0.0,100.0
softmean,nsup-16,0.0,16,10,1.0739,0.6898,12.73134328358209,0.153,0.153,0.875,83.7,0.0,87.3,10.3,2.00,1.50,95.5,3.2
softmean,nsup-16,0.0,16,20,0.5612,0.5443,1.0,1.190,0.203,2.077,100.0,6.7,100.0,0.0,8.46,1.00,100.0,0.0
softmean,nsup-16,0.0,16,30,0.5203,0.5216,1.0,1.292,0.186,2.006,100.0,14.3,100.0,0.0,9.72,1.00,100.0,0.0
softmean,nsup-16,0.0,16,40,0.0663,0.1007,1.0,4.097,0.786,7.246,100.0,99.9,100.0,0.0,89.48,1.00,100.0,0.0
softmean,nsup-16,0.0,16,50,0.0459,0.0641,1.0,4.862,1.056,8.540,100.0,99.8,100.0,0.0,96.94,1.00,100.0,0.0
softmean,nsup-16,0.0,16,60,0.0196,0.0388,1.0,5.384,0.914,8.632,100.0,100.0,100.0,0.0,98.66,1.00,100.0,0.0
softmean,nsup-16,0.0,16,70,0.0200,0.0395,1.0,5.426,1.017,8.865,100.0,100.0,100.0,0.0,98.58,1.00,100.0,0.0
softmean,nsup-16,0.0,16,80,0.0217,0.0369,1.0,5.720,1.186,10.384,100.0,100.0,100.0,0.0,94.26,1.00,100.0,0.0
softmean,nsup-16,0.0,16,90,0.0132,0.0241,1.0,6.272,1.210,9.874,100.0,100.0,100.0,0.0,94.72,1.00,100.0,0.0
binary-em,halt-0,0.0,5,0,1.6411,0.0155,5.0,-8.634,3.023,-0.030,0.0,0.0,0.0,100.0,0.08,5.00,0.0,100.0
binary-em,halt-0,0.0,5,10,0.6647,0.2695,5.0,-2.642,0.521,-0.657,0.0,0.0,0.0,100.0,6.82,5.00,0.0,100.0
