loss,config,halt_threshold,n_sup,epoch,sup_step,val_halt_logit_mean,val_acc
geomean,halt-3.0,3.0,5,90,4,3.621,95.54
geomean,halt-3.0,3.0,5,90,5,3.626,95.54
geomean,nsup-1,0.0,1,0,1,-1.386,0.04
geomean,nsup-1,0.0,1,10,1,0.101,6.86
geomean,nsup-1,0.0,1,20,1,0.260,8.18
geomean,nsup-1,0.0,1,30,1,1.700,68.76
geomean,nsup-1,0.0,1,40,1,4.363,97.74
geomean,nsup-1,0.0,1,50,1,5.424,96.70
geomean,nsup-1,0.0,1,60,1,4.412,95.82
geomean,nsup-1,0.0,1,70,1,4.655,98.76
geomean,nsup-1,0.0,1,80,1,6.055,98.84
geomean,nsup-1,0.0,1,90,1,5.587,99.10
geomean,nsup-16,0.0,16,0,1,-1.454,0.04
geomean,nsup-16,0.0,16,0,2,-1.426,0.04
geomean,nsup-16,0.0,16,0,3,-1.450,0.04
geomean,nsup-16,0.0,16,0,4,-1.445,0.04
geomean,nsup-16,0.0,16,0,5,-1.446,0.04
geomean,nsup-16,0.0,16,0,6,-1.445,0.04
geomean,nsup-16,0.0,16,0,7,-1.446,0.04
geomean,nsup-16,0.0,16,0,8,-1.446,0.04
geomean,nsup-16,0.0,16,0,9,-1.446,0.04
geomean,nsup-16,0.0,16,0,10,-1.446,0.04
geomean,nsup-16,0.0,16,0,11,-1.446,0.04
geomean,nsup-16,0.0,16,0,12,-1.446,0.04
geomean,nsup-16,0.0,16,0,13,-1.446,0.04
geomean,nsup-16,0.0,16,0,14,-1.446,0.04
geomean,nsup-16,0.0,16,0,15,-1.446,0.04
geomean,nsup-16,0.0,16,0,16,-1.446,0.04
geomean,nsup-16,0.0,16,10,1,-0.097,5.62
geomean,nsup-16,0.0,16,10,2,-0.098,5.62
geomean,nsup-16,0.0,16,10,3,-0.086,5.62
geomean,nsup-16,0.0,16,10,4,-0.085,5.62
geomean,nsup-16,0.0,16,10,5,-0.081,5.62
geomean,nsup-16,0.0,16,10,6,-0.088,5.62
geomean,nsup-16,0.0,16,10,7,-0.083,5.62
geomean,nsup-16,0.0,16,10,8,-0.081,5.62
geomean,nsup-16,0.0,16,10,9,-0.085,5.62
geomean,nsup-16,0.0,16,10,10,-0.083,5.62
geomean,nsup-16,0.0,16,10,11,-0.084,5.62
geomean,nsup-16,0.0,16,10,12,-0.082,5.62
geomean,nsup-16,0.0,16,10,13,-0.083,5.62
geomean,nsup-16,0.0,16,10,14,-0.087,5.62
geomean,nsup-16,0.0,16,10,15,-0.081,5.62
geomean,nsup-16,0.0,16,10,16,-0.082,5.62
geomean,nsup-16,0.0,16,20,1,0.118,6.66
geomean,nsup-16,0.0,16,20,2,0.109,6.66
geomean,nsup-16,0.0,16,20,3,0.102,6.66
geomean,nsup-16,0.0,16,20,4,0.106,6.66
geomean,nsup-16,0.0,16,20,5,0.106,6.66
geomean,nsup-16,0.0,16,20,6,0.105,6.66
geomean,nsup-16,0.0,16,20,7,0.105,6.66
geomean,nsup-16,0.0,16,20,8,0.105,6.66
geomean,nsup-16,0.0,16,20,9,0.106,6.66
geomean,nsup-16,0.0,16,20,10,0.105,6.66
geomean,nsup-16,0.0,16,20,11,0.105,6.66
geomean,nsup-16,0.0,16,20,12,0.106,6.66
geomean,nsup-16,0.0,16,20,13,0.105,6.66
geomean,nsup-16,0.0,16,20,14,0.105,6.66
geomean,nsup-16,0.0,16,20,15,0.105,6.66
geomean,nsup-16,0.0,16,20,16,0.106,6.66
geomean,nsup-16,0.0,16,30,1,0.060,7.90
geomean,nsup-16,0.0,16,30,2,0.056,7.90
geomean,nsup-16,0.0,16,30,3,0.053,7.90
geomean,nsup-16,0.0,16,30,4,0.054,7.90
geomean,nsup-16,0.0,16,30,5,0.054,7.90
geomean,nsup-16,0.0,16,30,6,0.054,7.90
geomean,nsup-16,0.0,16,30,7,0.054,7.90
geomean,nsup-16,0.0,16,30,8,0.054,7.90
geomean,nsup-16,0.0,16,30,9,0.054,7.90
geomean,nsup-16,0.0,16,30,10,0.054,7.90
geomean,nsup-16,0.0,16,30,11,0.054,7.90
geomean,nsup-16,0.0,16,30,12,0.054,7.90
geomean,nsup-16,0.0,16,30,13,0.054,7.90
geomean,nsup-16,0.0,16,30,14,0.054,7.90
geomean,nsup-16,0.0,16,30,15,0.054,7.90
geomean,nsup-16,0.0,16,30,16,0.054,7.90
geomean,nsup-16,0.0,16,40,1,0.183,9.94
geomean,nsup-16,0.0,16,40,2,0.182,9.94
geomean,nsup-16,0.0,16,40,3,0.179,9.94
geomean,nsup-16,0.0,16,40,4,0.179,9.94
geomean,nsup-16,0.0,16,40,5,0.179,9.94
geomean,nsup-16,0.0,16,40,6,0.179,9.94
geomean,nsup-16,0.0,16,40,7,0.179,9.94
geomean,nsup-16,0.0,16,40,8,0.179,9.94
geomean,nsup-16,0.0,16,40,9,0.179,9.94
geomean,nsup-16,0.0,16,40,10,0.179,9.94
geomean,nsup-16,0.0,16,40,11,0.179,9.94
geomean,nsup-16,0.0,16,40,12,0.179,9.94
geomean,nsup-16,0.0,16,40,13,0.179,9.94
geomean,nsup-16,0.0,16,40,14,0.179,9.94
geomean,nsup-16,0.0,16,40,15,0.179,9.94
geomean,nsup-16,0.0,16,40,16,0.179,9.94
geomean,nsup-16,0.0,16,50,1,2.553,83.90
geomean,nsup-16,0.0,16,60,1,4.182,96.74
geomean,nsup-16,0.0,16,70,1,4.434,98.04
geomean,nsup-16,0.0,16,80,1,5.171,97.78
geomean,nsup-16,0.0,16,90,1,4.935,98.76
